word,value
sie,0.0005558674628576356
"machbar,",9.399460017396303e-06
straftat,2.4482803272607885e-05
rath,0.00010063924477978311
volk!,5.0998325374628894e-05
cia,7.514143814238822e-05
komplett!,5.6903244749331655e-05
cover,0.004818319286263086
frau,0.002678371939502742
hankel:,1.652007814498023e-05
real?,0.005161898264255968
erklärt,8.00340662521431e-05
hamed,6.844255153978594e-05
nur.,2.4705195459414924e-05
music,0.01301334729153485
wende,1.5109786228642908e-05
saison,0.00011531712910904772
2.,2.2423641469763438e-05
heilbar!,0.0001278138071427079
whats,1.7954100934909768e-05
interview,2.843704483803061e-05
tot?,0.00014641609993916503
bitcoin,1.92674352819989e-05
movement),0.5962294192591869
kampfsport,3.090098754186226e-05
akif,5.251303313477196e-05
strom?,3.437925558552114e-05
polare,4.965108977955088e-05
tall,0.001314883634122224
putin,5.644580390980173e-05
wunderkerzen,0.0013731049593933631
28,4.068149758665356e-09
philosophie,2.3164044725840534e-05
dem,0.00011722821026067675
solidarisch,1.059753012132325e-06
you,0.36032254875917846
xpert:,5.147294284647318e-05
tries,1.8197511895469913e-05
wars,8.166132615560924e-06
|,0.000626086170040173
in,0.0026842668443708547
soziologie,3.090098754186226e-05
gegen,0.000391322953066818
internet,2.0766548468067083e-05
openstreetmap,8.30973830204181e-05
myself,0.006810015910547267
28.10.2015,0.00021569262217947737
become,0.00011002785639782297
january,0.0007388444766945661
"verdammt,",0.0001939314110954166
vegane,3.494337235205607e-05
rücktritt,7.084750607211695e-05
krishnamurti,3.636586871766939e-05
innovate?,0.00011002785639782297
kirche,0.0001150879566726429
neighbourhood,0.07395148603130469
toleranz,2.2795199147721542e-05
schäuble,3.5064060794896476e-05
syrien!,3.814365016220615e-05
gabalier,0.004861854590905443
vollendet,5.3306322337711706e-05
glenn,0.00021436640535815244
gahleitner,2.5080821287131694e-05
hoodie,0.010112902288972804
plötzlich,5.179364865244797e-05
psychologie,3.776124408489161e-05
reaf),0.003197225341781161
daemon:die,0.00012826265966608066
slubcast,1.1153510588340848e-06
globalisierung,0.00011882251815109769
"""mülltauchen""",2.4482803272607885e-05
wachstumsparty,1.3744243959650903e-05
braucht,0.00026818938271521467
ніс,5.424199678220474e-09
sync],0.002455533838280489
popp:,1.121995703439905e-05
medien,7.930518942038221e-05
و,0.00013436013812936025
libertarismus:,3.612788195678746e-05
radiocarbonmethode,1.832023441318965e-05
multi,6.444423835197768e-05
(newdokus,1.222818014958828e-05
hochbegabt,2.6259228667225092e-05
starbomb,0.01766156299786398
ros',0.0001499486099796061
babo,0.005883969307478917
(hd),0.0163853871306705
"""impfen",6.211522261514176e-05
„wirre,4.914460513459705e-05
geben,1.9323711353660438e-07
agenda!,3.492506567814207e-05
glass,0.0008858036746265129
nwo-gesetz,3.6213991126679216e-05
nie,1.5585759750406753e-05
treibt,5.0998325374628894e-05
kulti,6.444423835197768e-05
loriot,0.0007032346058070487
five,0.028452192593657
an,0.0014813485554414781
grebe,0.0027725050827768194
(offical,0.014768104364487483
jbb,0.009753001216123196
metin2,1.6340401530639178e-07
"grün,",0.0038061751527314618
kleiner,0.00013293153953910892
sport,3.090098754186226e-05
konstruierte,4.7474629658664916e-05
do,0.012000044413346966
xvi,3.997702965344467e-05
vogel,0.00011143848732664018
hart,0.00014730160053663452
bausch,3.2810305828595866e-05
"gewollt...!!!""",0.00011403566193506813
v0.9,2.3591200450500394e-05
laschet,1.5585759750406753e-05
1971,0.0012465482105260828
deutschland,0.0007488311628292097
geldsystem,0.00012406500714009778
schule,0.001314883634122224
(csr)?,4.760752255078132e-05
hab,0.00799267620220087
bye,0.014671540049715963
singers,0.0001499486099796061
depression,0.00013798350351441153
"sagt,",0.0002431682276245434
gratis,0.00034255787240345645
sugar:,0.004213111495065798
english,0.00039035931009273416
verbietet,6.0099454409723074e-05
